算术运算符列表
在 Bash 中共支持11种算术运算符。

运算符	描述	运算示例
+	加法	$((5+3)) ，打印输出 8
-	减法	$((5-3)) ，打印输出 2
*	乘法	$((5*3)) ，打印输出 15
/	除法	$((15/3)) ，打印输出 5
**	求幂	$((10**3)) ，打印输出 1000
%	模	$((10%3)) ，打印输出 1
+=	常量递增变量，结果存储回变量	x=5;let"x += 3";echo $x ，打印输出 8
-=	常量递减变量，结果存储回变量	x=5;let"x -= 3";echo $x ，打印输出 2
*=	变量乘以常量，结果存储回变量	x=5;let"x *= 3";echo $x ，打印输出 15
/=	变量除以常量，结果存储回变量	x=15;let"x /= 3";echo $x ，打印输出 5
%=	变量除以常量的余数，结果存储回变量	x=10;let"x *= 3";echo $x ，打印输出 1
